epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,255.326,0.67436,0.45345,0.87152,0.73193,0.47403,0.53837,0.3081,1.52536,1.43535,0.81989,0.0007294,0.0007294,0.0007294
43,261.408,0.68493,0.44788,0.89223,0.8614,0.56109,0.62216,0.36703,1.53731,1.1838,0.81733,0.0007228,0.0007228,0.0007228
44,267.539,0.67595,0.46621,0.86497,0.7336,0.47222,0.56429,0.34347,1.4781,1.3665,0.81043,0.0007162,0.0007162,0.0007162
45,273.647,0.66756,0.46204,0.87639,0.71234,0.48611,0.55748,0.34274,1.42144,1.34547,0.81288,0.0007096,0.0007096,0.0007096
46,279.755,0.65799,0.4538,0.86799,0.78123,0.5,0.55619,0.31173,1.58738,1.37635,0.82911,0.000703,0.000703,0.000703
47,285.876,0.6595,0.44205,0.8735,0.73309,0.51499,0.55253,0.3392,1.49022,1.44107,0.82131,0.0006964,0.0006964,0.0006964
48,292.009,0.67412,0.45864,0.86017,0.8279,0.48611,0.56339,0.33764,1.49655,1.27083,0.82155,0.0006898,0.0006898,0.0006898
49,298.072,0.67194,0.44792,0.87502,0.84992,0.51389,0.59424,0.35025,1.54552,1.17126,0.8231,0.0006832,0.0006832,0.0006832
50,304.141,0.69891,0.44371,0.87524,0.86192,0.5,0.58233,0.34386,1.53932,1.21526,0.83237,0.0006766,0.0006766,0.0006766
51,310.287,0.67715,0.45031,0.87248,0.76267,0.46865,0.54273,0.32706,1.4913,1.38869,0.81119,0.00067,0.00067,0.00067
52,316.401,0.68108,0.44213,0.86958,0.81109,0.50694,0.56116,0.318,1.61828,1.41405,0.83258,0.0006634,0.0006634,0.0006634
53,322.676,0.64273,0.42313,0.86408,0.93409,0.49208,0.60817,0.36953,1.52367,1.18571,0.81675,0.0006568,0.0006568,0.0006568
54,328.842,0.66825,0.43421,0.87177,0.83855,0.48611,0.55335,0.33723,1.517,1.54091,0.82943,0.0006502,0.0006502,0.0006502
55,335,0.63994,0.41992,0.87247,0.74067,0.5,0.53265,0.32477,1.53916,1.54757,0.82659,0.0006436,0.0006436,0.0006436
56,341.747,0.63296,0.41189,0.85558,0.83113,0.56944,0.61625,0.34711,1.5639,1.28349,0.81843,0.000637,0.000637,0.000637
57,348.76,0.64218,0.40149,0.85041,0.7826,0.5625,0.59693,0.36401,1.5687,1.19239,0.81922,0.0006304,0.0006304,0.0006304
58,355.764,0.65486,0.42732,0.87483,0.87032,0.46607,0.52823,0.3305,1.54535,1.51116,0.8205,0.0006238,0.0006238,0.0006238
59,362.036,0.62444,0.40134,0.86991,0.81973,0.47368,0.53448,0.34244,1.4803,1.46959,0.81903,0.0006172,0.0006172,0.0006172
60,368.21,0.64016,0.41107,0.85108,0.71642,0.40352,0.50729,0.30671,1.55033,1.39034,0.82155,0.0006106,0.0006106,0.0006106
61,374.371,0.64575,0.4171,0.8629,0.79533,0.48574,0.57388,0.33521,1.52327,1.33229,0.81959,0.000604,0.000604,0.000604
62,380.534,0.64228,0.41549,0.85502,0.85339,0.59028,0.64405,0.37928,1.52217,1.22454,0.81585,0.0005974,0.0005974,0.0005974
63,386.663,0.65806,0.41426,0.85515,0.82208,0.60417,0.64455,0.38716,1.50091,1.19995,0.81357,0.0005908,0.0005908,0.0005908
64,392.847,0.62819,0.4025,0.86504,0.76309,0.5,0.53437,0.32159,1.53621,1.71262,0.82666,0.0005842,0.0005842,0.0005842
65,398.945,0.63817,0.40955,0.85156,0.74774,0.41667,0.50143,0.28757,1.61844,1.89272,0.82682,0.0005776,0.0005776,0.0005776
66,405.016,0.65686,0.42607,0.85304,0.49057,0.54167,0.4916,0.2767,1.65202,2.30525,0.83115,0.000571,0.000571,0.000571
67,411.129,0.58348,0.38291,0.84218,0.91334,0.47917,0.58797,0.3554,1.54856,1.25921,0.82806,0.0005644,0.0005644,0.0005644
68,417.228,0.62604,0.39813,0.86282,0.94155,0.44748,0.56775,0.3498,1.55495,1.23237,0.82345,0.0005578,0.0005578,0.0005578
69,423.334,0.64976,0.41309,0.86095,0.80161,0.48611,0.57646,0.35445,1.5606,1.34362,0.8207,0.0005512,0.0005512,0.0005512
70,429.448,0.59782,0.3781,0.85519,0.79162,0.55402,0.61429,0.37034,1.47211,1.15331,0.81331,0.0005446,0.0005446,0.0005446
71,435.52,0.6226,0.4102,0.85924,0.85989,0.49306,0.57174,0.35335,1.50158,1.28305,0.80945,0.000538,0.000538,0.000538
72,441.663,0.62599,0.39558,0.84603,0.83346,0.41704,0.50627,0.31417,1.48675,1.65799,0.80955,0.0005314,0.0005314,0.0005314
73,447.798,0.62978,0.39422,0.86121,0.80613,0.44444,0.51788,0.32841,1.49783,1.57221,0.81629,0.0005248,0.0005248,0.0005248
74,453.908,0.60674,0.38756,0.83782,0.91729,0.46214,0.59198,0.34611,1.49717,1.32824,0.81236,0.0005182,0.0005182,0.0005182
75,460.059,0.59578,0.38118,0.83051,0.82414,0.47222,0.54549,0.31517,1.53862,1.46725,0.81466,0.0005116,0.0005116,0.0005116
76,466.171,0.58946,0.38106,0.84464,0.85342,0.5625,0.62848,0.37167,1.50912,1.13742,0.81356,0.000505,0.000505,0.000505
77,472.26,0.58918,0.37316,0.85405,0.92541,0.51389,0.61785,0.35559,1.54129,1.25617,0.81797,0.0004984,0.0004984,0.0004984
78,478.356,0.60624,0.39258,0.84495,0.88278,0.52299,0.60829,0.3528,1.52486,1.25074,0.81982,0.0004918,0.0004918,0.0004918
79,484.456,0.58197,0.3746,0.85137,0.95645,0.45753,0.56322,0.33749,1.53462,1.33244,0.81201,0.0004852,0.0004852,0.0004852
80,490.531,0.58998,0.36917,0.8373,0.88802,0.46528,0.58533,0.34471,1.55352,1.25544,0.8123,0.0004786,0.0004786,0.0004786
81,496.645,0.60013,0.37951,0.84441,0.89034,0.4375,0.57185,0.34807,1.48292,1.26925,0.81748,0.000472,0.000472,0.000472
82,502.758,0.55818,0.35756,0.83957,0.86739,0.45425,0.53369,0.3222,1.52957,1.37211,0.8167,0.0004654,0.0004654,0.0004654
83,508.872,0.56352,0.34576,0.83279,0.8706,0.41667,0.52071,0.32646,1.50647,1.3249,0.81313,0.0004588,0.0004588,0.0004588
84,514.96,0.58392,0.37142,0.84667,0.88711,0.382,0.47084,0.30045,1.50498,1.56966,0.82506,0.0004522,0.0004522,0.0004522
85,521.079,0.56494,0.36315,0.83109,0.80354,0.48288,0.57243,0.32836,1.56056,1.23618,0.82128,0.0004456,0.0004456,0.0004456
86,527.153,0.6026,0.37995,0.83506,0.7879,0.5625,0.60933,0.35204,1.53014,1.23962,0.81735,0.000439,0.000439,0.000439
87,533.291,0.57907,0.36991,0.838,0.89741,0.52778,0.62189,0.35041,1.52247,1.19801,0.81337,0.0004324,0.0004324,0.0004324
88,539.391,0.59323,0.37849,0.84431,0.8052,0.5625,0.61416,0.36773,1.48534,1.21401,0.81447,0.0004258,0.0004258,0.0004258
89,545.52,0.59003,0.37317,0.84313,0.9032,0.52083,0.63285,0.36106,1.50364,1.26246,0.81575,0.0004192,0.0004192,0.0004192
90,551.634,0.58065,0.35156,0.83667,0.84699,0.51389,0.60826,0.3541,1.49771,1.17443,0.82206,0.0004126,0.0004126,0.0004126
91,557.747,0.55028,0.34098,0.83605,0.77788,0.51073,0.59399,0.36812,1.49005,1.18166,0.81789,0.000406,0.000406,0.000406
92,563.909,0.5724,0.35744,0.8459,0.87875,0.48611,0.57889,0.34509,1.52885,1.21369,0.81897,0.0003994,0.0003994,0.0003994
93,570.054,0.56266,0.35095,0.83704,0.86353,0.43943,0.54623,0.3306,1.53978,1.26427,0.82416,0.0003928,0.0003928,0.0003928
