epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,33601.7,0.95756,0.37161,0.0031,0.96377,0.93609,0.97436,0.81733,0.6912,0.81002,0.00388,0.000955072,0.000955072,0.000955072
43,34411.9,0.95999,0.37101,0.00293,0.97686,0.93817,0.97649,0.80898,0.73065,0.515,0.00416,0.000952889,0.000952889,0.000952889
44,35208.2,0.96348,0.3695,0.00265,0.97739,0.95,0.97703,0.82061,0.68405,0.38145,0.00372,0.000950658,0.000950658,0.000950658
45,36003.6,0.94036,0.34705,0.00271,0.9886,0.96313,0.98295,0.83586,0.63765,0.30915,0.0034,0.000948377,0.000948377,0.000948377
46,36798.1,0.94722,0.33632,0.00295,0.97989,0.95,0.97969,0.80587,0.67976,0.36517,0.00379,0.000946048,0.000946048,0.000946048
47,37592.7,0.93725,0.34386,0.00284,0.97756,0.94259,0.97743,0.81461,0.6768,0.51621,0.00359,0.000943671,0.000943671,0.000943671
48,38386.2,0.9184,0.34475,0.00275,0.98244,0.9537,0.98107,0.82436,0.61682,0.44564,0.00332,0.000941245,0.000941245,0.000941245
49,39180.1,0.91613,0.35751,0.00271,0.97402,0.92222,0.97443,0.82217,0.67082,0.43776,0.00358,0.000938772,0.000938772,0.000938772
50,39973.4,0.91628,0.32728,0.00286,0.96999,0.95776,0.98157,0.81067,0.67594,0.41559,0.00358,0.000936251,0.000936251,0.000936251
51,40767.2,0.93693,0.33248,0.00279,0.98853,0.95734,0.98291,0.82214,0.69306,0.31971,0.00376,0.000933683,0.000933683,0.000933683
52,41561.3,0.915,0.33555,0.00284,0.98748,0.95,0.98065,0.81514,0.64,0.37126,0.00356,0.000931067,0.000931067,0.000931067
53,42378.7,0.90327,0.32347,0.00288,0.981,0.95185,0.98175,0.824,0.63761,0.32945,0.00358,0.000928405,0.000928405,0.000928405
54,43231.5,0.91541,0.32514,0.00267,0.99628,0.95185,0.98383,0.82863,0.68273,0.33757,0.00388,0.000925697,0.000925697,0.000925697
55,44083.4,0.89978,0.3247,0.00265,0.98644,0.94296,0.98509,0.81989,0.61439,0.36754,0.00333,0.000922942,0.000922942,0.000922942
56,44935.1,0.89514,0.33652,0.00294,0.98332,0.94074,0.97896,0.83302,0.62573,0.47307,0.00336,0.000920142,0.000920142,0.000920142
57,45786.2,0.88777,0.32993,0.00246,0.98653,0.94962,0.98119,0.84425,0.61799,0.45679,0.0033,0.000917296,0.000917296,0.000917296
58,46637.5,0.89789,0.34075,0.0029,0.99237,0.96385,0.98678,0.84015,0.59175,0.36451,0.00321,0.000914405,0.000914405,0.000914405
59,47488.4,0.89918,0.30729,0.0026,0.99427,0.96426,0.9824,0.83147,0.6692,0.40484,0.0038,0.000911469,0.000911469,0.000911469
60,48339.3,0.86939,0.30957,0.00247,0.99618,0.9646,0.98392,0.83172,0.65026,0.3142,0.00361,0.000908488,0.000908488,0.000908488
61,49194.8,0.88692,0.30875,0.00234,0.98489,0.96582,0.99021,0.84591,0.59078,0.34779,0.00307,0.000905463,0.000905463,0.000905463
62,50048,0.88577,0.30791,0.00237,0.96806,0.95426,0.98172,0.83025,0.62733,0.41963,0.00336,0.000902395,0.000902395,0.000902395
63,50901.9,0.88192,0.29819,0.00256,0.99039,0.96481,0.98229,0.82437,0.6562,0.33535,0.00366,0.000899282,0.000899282,0.000899282
64,51754.3,0.89237,0.3182,0.00269,0.98659,0.95356,0.98119,0.82822,0.63448,0.33429,0.00342,0.000896127,0.000896127,0.000896127
65,52608,0.89912,0.32303,0.00273,0.98289,0.95717,0.98106,0.82395,0.58451,0.35179,0.00317,0.000892928,0.000892928,0.000892928
66,53460.1,0.86864,0.30844,0.00244,0.9584,0.93856,0.97481,0.83058,0.61284,0.35862,0.00327,0.000889687,0.000889687,0.000889687
67,54313.3,0.8814,0.3184,0.00262,0.99244,0.94444,0.97905,0.84065,0.58055,0.47283,0.00307,0.000886404,0.000886404,0.000886404
68,55136.9,0.87604,0.29749,0.00262,0.99457,0.95556,0.98301,0.85112,0.60586,0.36506,0.00328,0.000883079,0.000883079,0.000883079
69,55927.9,0.86202,0.29195,0.00261,0.99192,0.96111,0.98367,0.82653,0.66495,0.34421,0.00351,0.000879713,0.000879713,0.000879713
70,56722.6,0.88341,0.30971,0.00281,0.99613,0.9525,0.98573,0.82936,0.64434,0.34535,0.00348,0.000876305,0.000876305,0.000876305
71,57201.3,0.88527,0.30941,0.00268,0.99424,0.95827,0.98295,0.83861,0.60591,0.39433,0.00312,0.000872857,0.000872857,0.000872857
72,57682.2,0.87359,0.30544,0.00288,0.99036,0.94815,0.98338,0.83731,0.60447,0.34604,0.00321,0.000869368,0.000869368,0.000869368
73,58167.8,0.86641,0.30887,0.00267,0.9868,0.96937,0.98349,0.84637,0.60927,0.38933,0.00333,0.000865839,0.000865839,0.000865839
74,58641.2,0.84986,0.29405,0.00231,0.99355,0.96852,0.98415,0.83553,0.5973,0.31359,0.00313,0.000862271,0.000862271,0.000862271
75,59114.5,0.85184,0.28656,0.00245,0.96982,0.95218,0.9789,0.82493,0.56625,0.32465,0.00302,0.000858664,0.000858664,0.000858664
76,59588.2,0.85334,0.30283,0.00243,0.9772,0.95236,0.98106,0.83973,0.62486,0.30244,0.00336,0.000855018,0.000855018,0.000855018
77,60072.3,0.85916,0.28822,0.00245,0.98488,0.96111,0.98127,0.83787,0.59037,0.3227,0.00318,0.000851333,0.000851333,0.000851333
78,60561.3,0.85419,0.29773,0.00248,0.98234,0.9463,0.98189,0.83072,0.59299,0.35855,0.0031,0.000847611,0.000847611,0.000847611
79,61050.3,0.8349,0.28251,0.00225,0.98249,0.95741,0.97962,0.84276,0.59997,0.3202,0.00323,0.000843851,0.000843851,0.000843851
80,61558.2,0.83816,0.28234,0.00229,0.99028,0.95741,0.9835,0.83571,0.62267,0.36855,0.00327,0.000840054,0.000840054,0.000840054
81,62054.1,0.85121,0.29335,0.00237,0.97724,0.97037,0.98383,0.86465,0.54826,0.3393,0.00286,0.00083622,0.00083622,0.00083622
82,62552.5,0.81784,0.27588,0.00234,0.98673,0.96362,0.98603,0.85402,0.58935,0.39847,0.00314,0.000832349,0.000832349,0.000832349
83,63052.7,0.82252,0.27437,0.00227,0.98342,0.96111,0.98247,0.84751,0.58435,0.31808,0.00307,0.000828443,0.000828443,0.000828443
84,63528,0.83235,0.27499,0.00222,0.99683,0.95,0.98285,0.8418,0.57349,0.33078,0.00303,0.000824502,0.000824502,0.000824502
85,64016,0.85356,0.28275,0.00225,0.99617,0.9621,0.9844,0.83911,0.58473,0.27443,0.00306,0.000820525,0.000820525,0.000820525
86,64496.2,0.8513,0.27664,0.00235,0.99233,0.95831,0.98339,0.83685,0.5975,0.29879,0.0032,0.000816514,0.000816514,0.000816514
87,64972.3,0.83156,0.27848,0.00229,0.99429,0.96808,0.98355,0.84085,0.57829,0.30856,0.00307,0.000812468,0.000812468,0.000812468
88,65442.2,0.81019,0.27125,0.00213,0.995,0.95926,0.98351,0.83192,0.59878,0.28978,0.00313,0.000808389,0.000808389,0.000808389
89,65912.7,0.83051,0.27534,0.00226,0.98672,0.96341,0.9825,0.83801,0.58373,0.29477,0.00313,0.000804277,0.000804277,0.000804277
90,66383.3,0.81617,0.28106,0.00229,0.99248,0.97715,0.98465,0.84391,0.59899,0.28549,0.00316,0.000800131,0.000800131,0.000800131
91,66853.8,0.83788,0.2758,0.00222,0.99047,0.96481,0.98384,0.85309,0.57471,0.27419,0.00305,0.000795954,0.000795954,0.000795954
92,67326.2,0.81336,0.26904,0.00207,0.99619,0.96848,0.98421,0.84559,0.56113,0.26255,0.00293,0.000791744,0.000791744,0.000791744
93,67799.1,0.82216,0.26938,0.00206,0.99427,0.9648,0.98293,0.83866,0.57143,0.30535,0.00294,0.000787503,0.000787503,0.000787503
94,68271.2,0.81233,0.27058,0.00224,0.98873,0.97443,0.9915,0.85057,0.57617,0.24058,0.00297,0.000783231,0.000783231,0.000783231
95,68743.2,0.82396,0.26459,0.00221,0.99929,0.97593,0.98471,0.8585,0.56056,0.22709,0.00289,0.000778929,0.000778929,0.000778929
96,69215.1,0.81995,0.26765,0.00237,0.99619,0.96718,0.98844,0.85401,0.57273,0.26598,0.003,0.000774596,0.000774596,0.000774596
97,69687.1,0.81741,0.26307,0.00205,0.99082,0.97037,0.98368,0.85116,0.55482,0.28521,0.00291,0.000770234,0.000770234,0.000770234
98,70159.2,0.80786,0.2711,0.00243,0.97049,0.9537,0.98252,0.83916,0.53571,0.29579,0.00282,0.000765843,0.000765843,0.000765843
99,70630.9,0.80022,0.26892,0.00251,0.98308,0.96812,0.99043,0.83577,0.57799,0.30654,0.00302,0.000761423,0.000761423,0.000761423
100,71102.5,0.82174,0.27356,0.00236,0.98851,0.95577,0.98379,0.85738,0.55879,0.2739,0.00294,0.000756976,0.000756976,0.000756976
101,71574,0.80243,0.2597,0.00237,0.9918,0.96111,0.98363,0.86551,0.56518,0.29623,0.003,0.0007525,0.0007525,0.0007525
102,72045.7,0.79842,0.26565,0.00206,0.97912,0.95506,0.9811,0.85368,0.57516,0.31816,0.00308,0.000747997,0.000747997,0.000747997
103,72517,0.78531,0.25361,0.00208,0.99667,0.96852,0.98402,0.85848,0.55243,0.29517,0.00289,0.000743468,0.000743468,0.000743468
104,72988.4,0.79583,0.24879,0.00206,0.99349,0.95926,0.98336,0.84,0.59561,0.2944,0.00314,0.000738913,0.000738913,0.000738913
105,73459.9,0.77245,0.26579,0.00206,0.97923,0.96045,0.98113,0.83725,0.55994,0.31921,0.00289,0.000734332,0.000734332,0.000734332
106,73931.4,0.78288,0.26605,0.00216,0.98299,0.96338,0.98358,0.85078,0.56218,0.28335,0.00291,0.000729725,0.000729725,0.000729725
107,74402.9,0.77932,0.26074,0.00217,0.9903,0.97778,0.98338,0.85875,0.55502,0.3181,0.00287,0.000725094,0.000725094,0.000725094
108,74874.4,0.77588,0.24996,0.00198,0.98687,0.97443,0.98465,0.85763,0.54597,0.28784,0.0028,0.000720439,0.000720439,0.000720439
109,75346.1,0.77394,0.2676,0.00209,0.9894,0.97037,0.98388,0.83842,0.55398,0.29678,0.00282,0.000715761,0.000715761,0.000715761
110,75817.9,0.7928,0.26895,0.0021,0.99618,0.96569,0.98349,0.85859,0.55119,0.26916,0.00283,0.000711059,0.000711059,0.000711059
111,76289.5,0.79288,0.24714,0.0021,0.99619,0.96783,0.98281,0.84893,0.56609,0.27324,0.00299,0.000706335,0.000706335,0.000706335
112,76761.5,0.7864,0.24654,0.00239,0.99199,0.96852,0.98403,0.84442,0.59415,0.30545,0.00318,0.000701588,0.000701588,0.000701588
113,77232.9,0.7791,0.25617,0.00212,0.9943,0.96971,0.98422,0.86127,0.57255,0.26682,0.00306,0.00069682,0.00069682,0.00069682
114,77704.2,0.77721,0.25154,0.00204,0.99617,0.96373,0.98456,0.84707,0.5618,0.2637,0.00293,0.000692031,0.000692031,0.000692031
115,78175.8,0.77225,0.25263,0.00197,0.98904,0.95741,0.98376,0.84548,0.54993,0.29514,0.00289,0.000687222,0.000687222,0.000687222
116,78647.6,0.78015,0.26531,0.00236,0.98007,0.95741,0.98283,0.84221,0.56007,0.29942,0.00291,0.000682392,0.000682392,0.000682392
117,79119.1,0.77857,0.25533,0.00197,0.97567,0.96532,0.98266,0.85442,0.54412,0.30708,0.00277,0.000677543,0.000677543,0.000677543
118,79590.6,0.76089,0.24997,0.0019,0.99479,0.97778,0.98448,0.85961,0.5239,0.2431,0.0027,0.000672675,0.000672675,0.000672675
119,80062.2,0.77865,0.26104,0.00208,0.99803,0.97037,0.98413,0.86047,0.55206,0.27444,0.00292,0.000667789,0.000667789,0.000667789
120,80534,0.76858,0.24773,0.00213,0.99394,0.96667,0.9901,0.84159,0.55378,0.25905,0.00289,0.000662885,0.000662885,0.000662885
121,81005.5,0.75589,0.23763,0.00205,0.99388,0.97222,0.98468,0.83579,0.55302,0.24688,0.00283,0.000657963,0.000657963,0.000657963
122,81477.1,0.75614,0.24156,0.0021,0.99054,0.96996,0.98434,0.83829,0.56632,0.26331,0.00292,0.000653025,0.000653025,0.000653025
123,81948.7,0.7795,0.2481,0.00206,0.99582,0.97593,0.98487,0.85463,0.53091,0.24563,0.0027,0.000648071,0.000648071,0.000648071
124,82420.4,0.76281,0.24364,0.00192,0.99249,0.9783,0.98466,0.84775,0.52921,0.2373,0.00272,0.000643101,0.000643101,0.000643101
125,82892.1,0.75931,0.23864,0.00204,0.99246,0.9752,0.98454,0.85032,0.52838,0.23632,0.00278,0.000638115,0.000638115,0.000638115
126,83362.9,0.76043,0.24276,0.0021,0.98863,0.96575,0.98417,0.84767,0.53225,0.25318,0.00273,0.000633115,0.000633115,0.000633115
127,83833.5,0.75568,0.23521,0.00187,0.99045,0.96069,0.9836,0.85054,0.52076,0.26991,0.00265,0.000628101,0.000628101,0.000628101
128,84304.3,0.72996,0.23472,0.00184,0.97948,0.97237,0.98438,0.84772,0.53631,0.23879,0.00279,0.000623074,0.000623074,0.000623074
129,84775.2,0.75207,0.24618,0.00196,0.9962,0.97215,0.98474,0.84804,0.53395,0.25123,0.00274,0.000618034,0.000618034,0.000618034
130,85246.1,0.74473,0.24538,0.00201,0.99251,0.98146,0.98475,0.84945,0.54201,0.26354,0.00277,0.000612981,0.000612981,0.000612981
131,85716.9,0.74696,0.24419,0.0021,0.98828,0.97222,0.98328,0.84714,0.53852,0.2892,0.00275,0.000607916,0.000607916,0.000607916
132,86188,0.74538,0.23789,0.00196,0.98422,0.97222,0.98373,0.84042,0.54063,0.27463,0.00277,0.00060284,0.00060284,0.00060284
133,86659,0.74441,0.2399,0.00177,0.96905,0.97593,0.9824,0.84007,0.54534,0.33254,0.00278,0.000597754,0.000597754,0.000597754
134,87129.7,0.72925,0.23562,0.0019,0.98663,0.97037,0.98323,0.84281,0.52913,0.27994,0.00272,0.000592657,0.000592657,0.000592657
135,87600.5,0.73607,0.23544,0.00194,0.9924,0.96709,0.9845,0.86494,0.52142,0.2579,0.00267,0.000587551,0.000587551,0.000587551
136,88071.2,0.73169,0.23045,0.00191,0.99449,0.97407,0.98388,0.86299,0.52743,0.25466,0.00265,0.000582435,0.000582435,0.000582435
137,88542,0.73806,0.22807,0.00179,0.99404,0.97778,0.98416,0.85843,0.54059,0.24485,0.00278,0.000577311,0.000577311,0.000577311
138,89012.9,0.73354,0.22875,0.00193,0.99328,0.97778,0.98478,0.85796,0.54387,0.25538,0.0028,0.000572179,0.000572179,0.000572179
139,89483.8,0.74811,0.24351,0.00205,0.99618,0.9665,0.98442,0.8565,0.55884,0.28676,0.0029,0.00056704,0.00056704,0.00056704
140,89954.5,0.715,0.22381,0.00201,0.98673,0.96365,0.98283,0.857,0.54152,0.27991,0.00279,0.000561894,0.000561894,0.000561894
141,90425.2,0.72254,0.22844,0.002,0.99123,0.95926,0.98352,0.85638,0.54725,0.26825,0.00282,0.000556742,0.000556742,0.000556742
142,90896.1,0.71836,0.23158,0.00185,0.99378,0.96481,0.98395,0.84947,0.53333,0.24497,0.00271,0.000551584,0.000551584,0.000551584
143,91366.9,0.71663,0.22368,0.00184,0.99475,0.96667,0.98395,0.85418,0.52765,0.25366,0.00271,0.000546421,0.000546421,0.000546421
144,91837.5,0.71784,0.23035,0.00163,0.99415,0.95926,0.98317,0.85747,0.53104,0.28508,0.00272,0.000541253,0.000541253,0.000541253
145,92308.1,0.70679,0.22259,0.00169,0.99045,0.96014,0.98309,0.85212,0.53073,0.30601,0.00271,0.000536081,0.000536081,0.000536081
146,92778.6,0.71589,0.22474,0.00186,0.99426,0.96179,0.98358,0.85005,0.52813,0.30116,0.0027,0.000530906,0.000530906,0.000530906
147,93249.2,0.71745,0.22463,0.00167,0.99053,0.96809,0.98378,0.85577,0.52905,0.26586,0.00269,0.000525728,0.000525728,0.000525728
148,93720.1,0.72252,0.22376,0.00173,0.99437,0.97222,0.98469,0.85746,0.52685,0.2297,0.00268,0.000520548,0.000520548,0.000520548
149,94190.7,0.71148,0.23406,0.00165,0.99618,0.96578,0.98399,0.85596,0.53091,0.22774,0.00271,0.000515366,0.000515366,0.000515366
150,94661.2,0.72226,0.23179,0.00182,0.99242,0.96976,0.98434,0.85207,0.52818,0.2234,0.00269,0.000510184,0.000510184,0.000510184
151,95131.8,0.71767,0.22872,0.00166,0.99089,0.96296,0.98406,0.85895,0.53049,0.23978,0.00269,0.000505,0.000505,0.000505
